Frame Number,Timecode,content_val,delta_edges,delta_hue,delta_lum,delta_sat
2,00:00:00.042,0.12801032110091742,1.3250788417431192,0.09274655963302753,0.022899942660550458,0.2683844610091743
3,00:00:00.083,2.9276089449541285,10.856508027522937,1.5970470183486238,1.52745126146789,5.6583285550458715
4,00:00:00.125,2.7771048356269112,11.349985665137615,1.5355504587155964,1.52723623853211,5.268527809633028
5,00:00:00.167,1.8328793960244647,9.001397649082568,1.0536840596330275,1.0382740825688073,3.4066800458715596
6,00:00:00.209,1.9280628822629968,8.544473910550458,1.122061353211009,1.155999139908257,3.506128153669725
7,00:00:00.250,2.5133314220183482,8.434812213302752,1.4716528096330275,1.2705346903669725,4.797806766055046
8,00:00:00.292,1.9762399655963303,8.827766628440367,1.1896502293577982,1.1342818233944953,3.6047878440366974
9,00:00:00.334,2.0863078172782874,8.09668864678899,1.248459002293578,1.1232798165137614,3.887184633027523
10,00:00:00.375,2.490658448012233,9.842137327981652,1.5813861811926606,1.2107941513761469,4.67979501146789
11,00:00:00.417,1.779243119266055,6.250716743119266,1.1621272935779816,0.9664922591743119,3.2091098050458715
12,00:00:00.459,2.33709623470948,9.165890194954128,1.4000143348623852,1.254157110091743,4.357117259174312
13,00:00:00.500,3.187834480122324,7.667180332568807,1.7072104357798166,1.580490252293578,6.275802752293578
14,00:00:00.542,2.5351204128440368,6.1776089449541285,1.357726490825688,1.5681264334862386,4.679508314220183
15,00:00:00.584,2.43833620030581,7.091456422018348,1.3304544151376148,1.372491399082569,4.612062786697248
16,00:00:00.626,2.9259365443425076,11.304293291284404,1.592674885321101,1.3581206995412844,5.827014048165138
17,00:00:00.667,2.129372133027523,9.522290711009175,1.326584002293578,1.0229357798165137,4.038596616972477
18,00:00:00.709,2.2586845374617734,8.608443233944953,1.333213876146789,1.0740037270642202,4.368836009174312
19,00:00:00.751,2.6550076452599387,8.644997133027523,1.604501146788991,1.0468391628440368,5.313682626146789
20,00:00:00.792,2.0102255351681957,6.51573251146789,1.1472190366972477,1.0320025802752293,3.85145498853211
21,00:00:00.834,2.006379013761468,9.29382884174312,1.2038059059633028,1.0551175458715596,3.7602135894495414
22,00:00:00.876,2.9507000191131496,9.686783256880734,1.7025157683486238,1.326834862385321,5.822749426605505
23,00:00:00.918,2.05193998470948,9.46745986238532,1.2560564793577982,1.0731794724770642,3.826584002293578
24,00:00:00.959,2.220816609327217,9.659367832568808,1.3095255160550459,1.2247348050458715,4.128189506880734
25,00:00:01.001,2.7897075688073394,13.497527236238533,1.7102565940366972,1.2639406536697249,5.394925458715596
26,00:00:01.043,1.9847572629969419,11.487062786697248,1.2111525229357798,1.0712442660550459,3.671875
27,00:00:01.084,1.935361716360856,11.487062786697248,1.2044509747706422,1.1058629587155964,3.49577121559633
28,00:00:01.126,2.4323752866972477,10.034045298165138,1.47254873853211,1.068198107798165,4.756379013761468
29,00:00:01.168,1.8507501911314985,11.87087872706422,1.116936639908257,1.0985163417431192,3.336797591743119
30,00:00:01.210,1.6713971712538225,9.851275802752294,1.070563360091743,0.9748423165137615,2.9687858371559632
31,00:00:01.251,2.552465596330275,10.399584288990825,1.5863317087155964,1.3762543004587156,4.694810779816514
32,00:00:01.293,1.6483060970948011,11.194631594036696,1.1376146788990826,0.9563861811926605,2.8509174311926606
33,00:00:01.335,1.89760129969419,10.591492259174313,1.317588876146789,1.1318090596330275,3.2434059633027523
34,00:00:01.376,2.515708620030581,8.544473910550458,1.5518922018348624,1.2314005160550459,4.763833142201835
35,00:00:01.418,1.6886826261467893,6.232439793577981,1.0688790137614679,1.002114392201835,2.9950544724770642
36,00:00:01.460,1.830681383792049,7.319918291284404,1.158149369266055,1.0662629013761469,3.267631880733945
37,00:00:01.501,2.6129945527522938,10.719430905963304,1.6020642201834863,1.379372133027523,4.8575473050458715
38,00:00:01.543,1.4267010703363914,9.42176748853211,0.9943018922018348,0.7596401949541285,2.526161123853211
39,00:00:01.585,1.7769734327217126,7.667180332568807,1.240073107798165,0.9268563646788991,3.1639908256880735
40,00:00:01.627,2.2786816704892967,11.551032110091743,1.4788919151376148,1.0032970183486238,4.353856077981652
41,00:00:01.668,1.7777618501529053,8.754658830275229,1.095864392201835,1.0304615825688073,3.2069595756880735
42,00:00:01.710,1.7261324541284402,10.408722763761467,1.1505877293577982,1.0116829128440368,3.016126720183486
43,00:00:01.752,2.2379945527522938,10.564076834862385,1.3713804472477065,1.0433629587155964,4.299240252293578
44,00:00:01.793,1.4006474579510704,7.319918291284404,0.9748423165137615,0.7289635894495413,2.4981364678899083
45,00:00:01.835,1.9486214640672783,9.120197821100918,1.220040137614679,1.1559274655963303,3.469896788990826
46,00:00:01.877,2.4449421827217126,11.258600917431192,1.516807626146789,1.2435134747706422,4.574505447247707
47,00:00:01.919,1.4643061926605505,8.983120699541285,0.9611166857798165,0.830131880733945,2.60167001146789
48,00:00:01.960,1.68232750382263,10.765123279816514,1.0322892775229358,0.9150659403669725,3.099627293577982
49,00:00:02.002,2.5302704510703364,9.933522075688073,1.5589879587155964,1.0694524082568808,4.962370986238532
50,00:00:02.044,1.421827217125382,6.552286410550459,0.9419438073394495,0.7203626720183486,2.6031751720183487
51,00:00:02.085,1.5643515863914372,6.561424885321101,1.0120412844036697,0.8057626146788991,2.875250860091743
52,00:00:02.127,2.338995603975535,13.250788417431192,1.425422878440367,0.9557052752293578,4.635858658256881
53,00:00:02.169,1.453758123088685,8.34342746559633,0.9771000573394495,0.849555619266055,2.5346186926605503
54,00:00:02.211,1.6023628631498472,10.527522935779816,1.0400659403669725,0.9463876146788991,2.82063503440367
55,00:00:02.252,2.4788560779816513,10.225953268348624,1.5458715596330275,1.1623064793577982,4.7283901949541285
56,00:00:02.294,1.651842029816514,7.26508744266055,1.1611955275229358,0.9449182912844036,2.849412270642202
